Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3599.768439602
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 8419 rows, 2106 columns and 29033 nonzeros
Model fingerprint: 0x0d13e844
Variable types: 52 continuous, 2054 integer (2054 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+13]
  Objective range  [1e+09, 5e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 1903 rows and 138 columns
Presolve time: 0.14s
Presolved: 6516 rows, 1968 columns, 24043 nonzeros
Variable types: 52 continuous, 1916 integer (1916 binary)

Root relaxation: objective 8.040654e+10, 739 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
  2890  1310 7.9560e+10   83  105 7.3534e+10 7.9560e+10  8.20%  27.0   55s
  3068  1437 7.9560e+10   70  140 7.3534e+10 7.9560e+10  8.20%  27.7   60s
H 3165  1471                    7.485315e+10 7.9560e+10  6.29%  28.3   62s
  3231  1524 7.9560e+10   88  110 7.4853e+10 7.9560e+10  6.29%  28.2   65s
  3573  1773 7.9560e+10   89  140 7.4853e+10 7.9560e+10  6.29%  27.9   70s
  4070  2055 7.9560e+10   85  229 7.4853e+10 7.9560e+10  6.29%  28.7   75s
  4448  2261 7.7264e+10  169  124 7.4853e+10 7.9560e+10  6.29%  29.1   80s
  4936  2600 7.8469e+10   82   98 7.4853e+10 7.9560e+10  6.29%  29.0   85s
  5110  2721 7.9560e+10   77    9 7.4853e+10 7.9560e+10  6.29%  29.3   90s
  5284  2752 7.9560e+10  114  131 7.4853e+10 7.9560e+10  6.29%  32.0   95s
  5541  2807 7.9560e+10   37   32 7.4853e+10 7.9560e+10  6.29%  32.1  100s
  5757  2839 infeasible  160      7.4853e+10 7.9560e+10  6.29%  32.0  105s
  6018  2837 7.9560e+10  137   48 7.4853e+10 7.9560e+10  6.29%  31.6  110s
  6252  2937 7.9560e+10  103  101 7.4853e+10 7.9560e+10  6.29%  31.2  115s
  6562  3066 7.9560e+10  105  158 7.4853e+10 7.9560e+10  6.29%  30.8  120s
  6877  3229 7.8003e+10  210   60 7.4853e+10 7.9560e+10  6.29%  30.5  125s
  7254  3403 7.9560e+10  131   84 7.4853e+10 7.9560e+10  6.29%  29.9  130s
  7650  3496 7.9560e+10  189   67 7.4853e+10 7.9560e+10  6.29%  29.7  135s
  8051  3532 7.8003e+10  217   48 7.4853e+10 7.9560e+10  6.29%  29.3  140s
  8350  3629 7.9560e+10  143  121 7.4853e+10 7.9560e+10  6.29%  29.3  145s
  8724  3700 7.9560e+10  178   58 7.4853e+10 7.9560e+10  6.29%  29.3  150s
  9277  3849 7.7308e+10  213   52 7.4853e+10 7.9560e+10  6.29%  28.8  155s
  9801  3952 7.9560e+10  147  119 7.4853e+10 7.9560e+10  6.29%  28.4  160s
 10217  4055 7.9560e+10  185   62 7.4853e+10 7.9560e+10  6.29%  28.0  165s
 10646  4066 7.9560e+10   50  184 7.4853e+10 7.9560e+10  6.29%  27.7  170s
 10987  4196 7.7055e+10  138  115 7.4853e+10 7.9560e+10  6.29%  27.7  175s
 11421  4340 7.7303e+10  213   33 7.4853e+10 7.9560e+10  6.29%  27.6  180s
 11861  4486 7.7308e+10  217   57 7.4853e+10 7.9560e+10  6.29%  27.3  185s
 12153  4593 7.9532e+10  150  129 7.4853e+10 7.9560e+10  6.29%  27.3  190s
 12609  4805 7.7651e+10  195   94 7.4853e+10 7.9560e+10  6.29%  27.1  195s
 12903  4882 7.9560e+10  177   60 7.4853e+10 7.9560e+10  6.29%  27.3  200s
 13208  4924 7.7264e+10  190   56 7.4853e+10 7.9560e+10  6.29%  27.3  205s
 13595  5082 7.7651e+10  191   31 7.4853e+10 7.9560e+10  6.29%  27.4  210s
 13992  5291 7.9560e+10  162   99 7.4853e+10 7.9560e+10  6.29%  27.6  215s
 14456  5583 7.9560e+10  234   31 7.4853e+10 7.9560e+10  6.29%  27.5  220s
 14863  5771 7.9560e+10  168   53 7.4853e+10 7.9560e+10  6.29%  27.4  225s
 15201  5958 7.9546e+10  151  112 7.4853e+10 7.9560e+10  6.29%  27.5  230s
 15304  6025 7.7651e+10  224   12 7.4853e+10 7.9560e+10  6.29%  27.4  256s
 15312  6030 7.9560e+10  218   12 7.4853e+10 7.9560e+10  6.29%  27.4  260s
 15319  6035 7.9560e+10  155   10 7.4853e+10 7.9560e+10  6.29%  27.4  265s
 15325  6039 7.7308e+10  202   10 7.4853e+10 7.9560e+10  6.29%  27.4  270s
 15422  6101 7.9560e+10  117  114 7.4853e+10 7.9560e+10  6.29%  28.5  275s
 15570  6162 7.9560e+10  108   91 7.4853e+10 7.9560e+10  6.29%  28.5  280s
 15760  6233 7.9560e+10   73   64 7.4853e+10 7.9560e+10  6.29%  28.4  285s
 15957  6325 7.7303e+10  200   84 7.4853e+10 7.9560e+10  6.29%  28.4  290s
 16058  6335 7.9560e+10   50   79 7.4853e+10 7.9560e+10  6.29%  28.4  295s
 16175  6409 7.9560e+10  132   86 7.4853e+10 7.9560e+10  6.29%  28.4  300s
 16397  6503 7.7303e+10  168   89 7.4853e+10 7.9560e+10  6.29%  28.5  305s
 16595  6573 infeasible  145      7.4853e+10 7.9560e+10  6.29%  28.4  310s
 16785  6655 7.7264e+10  197   73 7.4853e+10 7.9560e+10  6.29%  28.4  315s
 17231  6846 7.9560e+10  156   94 7.4853e+10 7.9560e+10  6.29%  28.1  320s
 17474  6886 7.9560e+10  173   74 7.4853e+10 7.9560e+10  6.29%  28.0  325s
 17942  7036 7.9560e+10  160  106 7.4853e+10 7.9560e+10  6.29%  27.8  330s
 18104  7078 7.9560e+10   79   73 7.4853e+10 7.9560e+10  6.29%  27.8  335s
 18581  7244 7.5603e+10  123   65 7.4853e+10 7.9560e+10  6.29%  27.9  340s
 18963  7361 7.8241e+10  149  119 7.4853e+10 7.9560e+10  6.29%  27.8  345s
 19561  7517 7.9560e+10  140  106 7.4853e+10 7.9560e+10  6.29%  27.6  350s
H19620  6867                    7.726373e+10 7.9560e+10  2.97%  27.6  351s
 19943  6956 7.8241e+10  132  106 7.7264e+10 7.9560e+10  2.97%  27.5  355s
 20405  7057 7.7303e+10  182   12 7.7264e+10 7.9560e+10  2.97%  27.4  360s
 20414  7063 7.9560e+10  125    4 7.7264e+10 7.9560e+10  2.97%  27.4  365s
 20419  7066 7.9560e+10   93   12 7.7264e+10 7.9560e+10  2.97%  27.4  370s
 20424  7070 7.9560e+10  123   16 7.7264e+10 7.9560e+10  2.97%  27.4  375s
 20531  7117 7.9560e+10   60   78 7.7264e+10 7.9560e+10  2.97%  27.4  380s
 20701  7173 7.9560e+10  103  236 7.7264e+10 7.9560e+10  2.97%  27.4  385s
 20972  7226 7.9560e+10  108  123 7.7264e+10 7.9560e+10  2.97%  27.4  390s
 21155  7205 7.9560e+10  145   63 7.7264e+10 7.9560e+10  2.97%  27.4  395s
 21378  7112 7.9560e+10  127   82 7.7264e+10 7.9560e+10  2.97%  27.4  400s
 21557  7123 7.8490e+10  165  115 7.7264e+10 7.9560e+10  2.97%  27.3  405s
 21687  7170 7.9560e+10  122  155 7.7264e+10 7.9560e+10  2.97%  27.4  410s
 21828  7226 7.8003e+10  181   60 7.7264e+10 7.9560e+10  2.97%  27.6  415s
 22049  7309 7.9560e+10  163   46 7.7264e+10 7.9560e+10  2.97%  27.6  420s
 22318  7258 7.9560e+10  102  117 7.7264e+10 7.9560e+10  2.97%  27.7  425s
 22573  7299     cutoff  160      7.7264e+10 7.9560e+10  2.97%  27.8  430s
 22692  7337 7.8003e+10  179  108 7.7264e+10 7.9560e+10  2.97%  27.9  435s
 22913  7395 7.8003e+10  175   83 7.7264e+10 7.9560e+10  2.97%  27.9  440s
 23134  7467 7.9560e+10  119  189 7.7264e+10 7.9560e+10  2.97%  27.9  445s
 23376  7573 7.7303e+10  163  102 7.7264e+10 7.9560e+10  2.97%  27.9  450s
 23613  7681 7.7303e+10  113  161 7.7264e+10 7.9560e+10  2.97%  28.0  455s
 23872  7795 7.8003e+10  150  158 7.7264e+10 7.9560e+10  2.97%  28.0  460s
 24297  7977 7.8003e+10  187   64 7.7264e+10 7.9560e+10  2.97%  28.0  465s
 24794  8170 7.8003e+10  195   55 7.7264e+10 7.9560e+10  2.97%  27.9  470s
 25076  8301 7.9560e+10   71   87 7.7264e+10 7.9560e+10  2.97%  27.9  475s
 25495  8489 7.8003e+10  133  158 7.7264e+10 7.9560e+10  2.97%  27.9  480s
 25926  8647 7.8003e+10  119   72 7.7264e+10 7.9560e+10  2.97%  27.9  485s
 26281  8789 7.8003e+10  205   89 7.7264e+10 7.9560e+10  2.97%  27.9  490s
 26638  8929 7.8003e+10  107  189 7.7264e+10 7.9560e+10  2.97%  28.0  495s
 26908  9066 7.8003e+10  213   32 7.7264e+10 7.9560e+10  2.97%  27.9  500s
 27278  9199 7.8003e+10  114   99 7.7264e+10 7.9560e+10  2.97%  28.0  505s
 27769  9430 7.9560e+10  156   87 7.7264e+10 7.9560e+10  2.97%  27.9  510s
 28165  9600 7.8003e+10  165  120 7.7264e+10 7.9560e+10  2.97%  28.0  515s
 28625  9773 7.8003e+10  108  138 7.7264e+10 7.9560e+10  2.97%  28.0  520s
 29032  9942 7.8003e+10  216   52 7.7264e+10 7.9560e+10  2.97%  28.0  525s
 29277 10051 7.8003e+10  189   43 7.7264e+10 7.9560e+10  2.97%  28.0  530s
 29698 10185 7.8003e+10  126  127 7.7264e+10 7.9560e+10  2.97%  28.0  535s
 30108 10335 7.8003e+10  188   50 7.7264e+10 7.9560e+10  2.97%  28.0  540s
 30444 10484 7.8003e+10  165   52 7.7264e+10 7.9560e+10  2.97%  28.1  545s
 30900 10641     cutoff  159      7.7264e+10 7.9560e+10  2.97%  28.1  550s
 31159 10759     cutoff  150      7.7264e+10 7.9560e+10  2.97%  28.1  555s
 31517 10901 7.9560e+10  175   93 7.7264e+10 7.9560e+10  2.97%  28.1  560s
 31887 11058 7.9560e+10  162   89 7.7264e+10 7.9560e+10  2.97%  28.1  565s
 32240 11169 7.9560e+10  182  105 7.7264e+10 7.9560e+10  2.97%  28.0  570s
 32726 11176 7.7651e+10  170   60 7.7264e+10 7.9560e+10  2.97%  27.9  575s
 33085 11054 7.9560e+10  158   71 7.7264e+10 7.9560e+10  2.97%  27.8  580s
 33487 10950 7.7651e+10  196   63 7.7264e+10 7.9560e+10  2.97%  27.7  585s
 33961 10847 7.8490e+10  172  125 7.7264e+10 7.9560e+10  2.97%  27.7  590s
 34532 10849 7.9560e+10  145   99 7.7264e+10 7.9560e+10  2.97%  27.7  595s
 34988 10985 7.7651e+10  210   81 7.7264e+10 7.9560e+10  2.97%  27.7  600s
 35159 11011 7.9560e+10  147  112 7.7264e+10 7.9560e+10  2.97%  27.7  605s
 35707 11193 7.9560e+10  201   86 7.7264e+10 7.9560e+10  2.97%  27.7  610s
 36095 11313 7.7651e+10  208   47 7.7264e+10 7.9560e+10  2.97%  27.6  615s
 36666 11449 7.9560e+10  154  100 7.7264e+10 7.9560e+10  2.97%  27.6  620s
 36942 11411 7.7651e+10  165   95 7.7264e+10 7.9560e+10  2.97%  27.8  625s
 37506 11329 infeasible  166      7.7264e+10 7.9560e+10  2.97%  28.0  630s
H37741   953                    7.956043e+10 7.9560e+10  0.00%  28.0  633s

Cutting planes:
  Learned: 16
  Gomory: 31
  Lift-and-project: 1
  Cover: 122
  Implied bound: 29
  Projected implied bound: 4
  Clique: 6
  MIR: 6
  Mixing: 1
  Flow cover: 135
  GUB cover: 1
  Inf proof: 36
  Zero half: 1
  RLT: 4
  Relax-and-lift: 4

Explored 37742 nodes (1084420 simplex iterations) in 633.62 seconds (309.66 work units)
Thread count was 1 (of 28 available processors)

Solution count 10: 7.95604e+10 7.95604e+10 7.72637e+10 ... 6.68133e+10

Optimal solution found (tolerance 1.00e-04)
Best objective 7.956043218000e+10, best bound 7.956043218000e+10, gap 0.0000%

User-callback calls 388108, time in user-callback 0.27 sec
